Nome, Key
Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,ALZR11
Ambev S.A.,ABEV3
Arezzo Indústria e Comércio S.A.,ARZZ3
Azul S.A.,AZUL4
B2W - Companhia Digital,BTOW3
B3 S.A. - Brasil- Bolsa- Balcão,B3SA3
Banco Bradesco S.A.,BBDC3
Banco Bradesco S.A.,BBDC4
Banco do Brasil S.A.,BBAS3
Banco do Estado do Rio Grande do Sul S.A.,BRSR6
Banco Inter S.A.,BIDI4
Banco Inter S.A.,BIDI3
Banco Santander (Brasil) S.A.,SANB3
Banco Santander (Brasil) S.A.,SANB11
BB Progressivo II Fundo de Investimento Imobiliario - FII,BBPO11
BB Seguridade Participações S.A.,BBSE3
BR Malls Participações S.A.,BRML3
Bradespar S.A.,BRAP4
Bradespar S.A.,BRAP3
Braskem S.A.,BRKM5
Braskem S.A.,BRKM3
BRF S.A.,BRFS3
Camil Alimentos S.A.,CAML3
CCR S.A.,CCRO3
Centrais Elétricas Brasileiras S.A. - Eletrobras,ELET3
Centrais Elétricas Brasileiras S.A. - Eletrobras,ELET6
Cia. Hering,HGTX3
Cielo S.A.,CIEL3
Cogna Educação S.A.,COGN3
Companhia Brasileira de Distribuição,PCAR4
Companhia de Locação das Américas,LCAM3
Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SBSP3
Companhia Energética de Minas Gerais,CMIG3
Companhia Energética de Minas Gerais,CMIG4
Companhia Paranaense de Energia - COPEL,CPLE6
Companhia Paranaense de Energia - COPEL,CPLE3
Companhia Siderúrgica Nacional,CSNA3
Cosan S.A.,CSAN3
CPFL Energia S.A.,CPFE3
CSHG Logistica - Fundo De Investimento Imobiliario,HGLG11
CVC Brasil Operadora e Agência de Viagens S.A.,CVCB3
Cyrela Brazil Realty S.A. Empreendimentos e Participações,CYRE3
EcoRodovias Infraestrutura e Logística S.A.,ECOR3
EDP - Energias do Brasil S.A.,ENBR3
Embraer S.A.,EMBR3
Engie Brasil Energia S.A.,EGIE3
Equatorial Energia S.A.,EQTL3
Estácio Participações S.A.,YDUQ3
FD Invest Imob Hotel Maxinvest,HTMX11
Fleury S.A.,FLRY3
Fundo de Investimento Imobiliario - FII Brasil Plural Absoluto Fundo de Fundos,BPFF11
Fundo Investimento Imobiliario Rbr Properties Fii,RBRP11
Gerdau S.A.,GGBR3
Gerdau S.A.,GGBR4
Gol Linhas Aéreas Inteligentes S.A.,GOLL4
Grendene S.A.,GRND3
HEDGE Brasil Shopping Fundo de Investimento Imobiliario,HGBS11
Helbor Empreendimentos S.A.,HBOR3
Hypera S.A.,HYPE3
Iguatemi Empresa de Shopping Centers S.A.,IGTA3
International Meal Company Alimentacao S.A.,MEAL3
Iochpe-Maxion S.A.,MYPK3
IRB-Brasil Resseguros S.A.,IRBR3
iShares Ibovespa Fundo de Índice ETF,BOVA11
iShares S&P 500 Fundo de Investimento - Investimento No Exterior,IVVB11
Itaú Unibanco Holding S.A.,ITUB4
Itaú Unibanco Holding S.A.,ITUB3
Itaúsa - Investimentos Itaú S.A.,ITSA4
Itausa - Investimentos Itau S.A.,ITSA3
JBS S.A.,JBSS3
JHSF Participacoes S.A.,JHSF3
KLABIN S/A UNT N2,KLBN11
Localiza Rent a Car S.A.,RENT3
Lojas Americanas S.A.,LAME4
Lojas Renner S.A.,LREN3
M. Dias Branco S.A. Indústria e Comércio de Alimentos,MDIA3
Magazine Luiza S.A.,MGLU3
Marfrig Global Foods S.A.,MRFG3
Maxi Renda Fundo De Investimento Imobiliaro - FII,MXRF11
Merito Desenvolvimento Imobiliario I FII - Fundo de Investimento Imobiliario,MFII11
Metalurgica Gerdau S.A.,GOAU4
Mills Estruturas e Servicos de Engenharia S.A.,MILS3
Movida Participacoes S.A.,MOVI3
MRV Engenharia e Participações S.A.,MRVE3
Multiplan Empreendimentos Imobiliários S.A.,MULT3
Natura &Co Holding S.A.,NTCO3
Natura Cosméticos S.A.,NATU3
Oi S.A.,OIBR3
Petrobras Distribuidora S.A.,BRDT3
Petróleo Brasileiro S.A. - Petrobras,PETR4
Petróleo Brasileiro S.A. - Petrobras,PETR3
Porto Seguro S.A.,PSSA3
Qualicorp Consultoria e Corretora de Seguros S.A.,QUAL3
Raia Drogasil S.A.,RADL3
Rumo S.A.,RAIL3
Sinqia S.A.,SQIA3
Smiles Fidelidade S.A.,SMLS3
Suzano S.A.,SUZB3
Taurus Armas S.A.,TASA4
Tecnisa S.A.,TCSA3
Telefônica Brasil S.A.,VIVT4
TIM Participações S.A.,TIMP3
TOTVS S.A.,TOTS3
Transmissora Aliança de Energia Elétrica S.A.,TAEE11
Ultrapar Participações S.A.,UGPA3
Usinas Siderúrgicas de Minas Gerais S.A.,USIM5
Vale S.A.,VALE3
Valid Solucoes S.A.,VLID3
Via Varejo S.A.,VVAR3
Vinci Logistica Fundo Investimento Imobiliario FII,VILG11
Vivara Participacoes S.A.,VIVA3
WEG S.A.,WEGE3
Wiz Solucoes e Corretagem de Seguros S.A.,WIZS3
